"time","n","der(n)"
0.2342	,1429.9999999995,2.8599698743518284e-7
0.2343	,1430,2.8482646770488916e-7
0.2344	,1430,2.836559479745955e-7
0.2345	,1430,2.824854282443019e-7
0.2346	,1430,2.811848507661978e-7
0.2347	,1430,2.800143310359041e-7
0.2348	,1430,2.788438113056104e-7
0.2349	,1430,2.7767329157531674e-7
0.235	,1430,2.7650277184502306e-7
0.2351	,1430,2.7520219436691894e-7
0.2352	,1430,2.740316746366253e-7
0.2353	,1430,2.7286115490633163e-7
0.2354	,1430,2.716906351760379e-7
0.2355	,1430,2.705201154457442e-7
0.2356	,1430,2.692195379676401e-7
0.2357	,1430,2.6804901823734637e-7
0.2358	,1430,2.6687849850705274e-7
0.2359	,1430,2.65707978776759e-7
0.236	,1430,2.6453745904646527e-7
0.2361	,1430,2.6323688156836115e-7
0.2362	,1430,2.620663618380674e-7
0.2363	,1430,2.608958421077737e-7
0.2364	,1430,2.5972532237748e-7
0.2365	,1430,2.5855480264718627e-7
0.2366	,1430,2.573842829168925e-7
0.2367	,1430,2.5608370543878837e-7
0.2368	,1430,2.549131857084946e-7
0.2369	,1430,2.5374266597820084e-7
0.237	,1430,2.5257214624790716e-7
0.2371	,1430,2.514016265176134e-7
0.2372	,1430,2.501010490395092e-7
0.2373	,1430,2.489305293092154e-7
0.2374	,1430,2.477600095789217e-7
0.2375	,1430,2.465894898486279e-7
0.2376	,1430,2.4541897011833416e-7
0.2377	,1430,2.4411839264023e-7
0.2378	,1430,2.429478729099362e-7
0.2379	,1430,2.417773531796424e-7
0.238	,1430,2.406068334493486e-7
0.2381	,1430,2.394363137190548e-7
0.2382	,1430,2.381357362409506e-7
0.2383	,1430,2.3696521651065684e-7
0.2384	,1430,2.3579469678036305e-7
0.2385	,1430,2.3462417705006923e-7
0.2386	,1430,2.3345365731977542e-7
0.2387	,1430,2.3215307984167117e-7
0.2388	,1430,2.3098256011137736e-7
0.2389	,1430,2.298120403810836e-7
0.239	,1430,2.2864152065078976e-7
0.2391	,1430,2.2747100092049594e-7
0.2392	,1430,2.261704234423917e-7
0.2393	,1430,2.2499990371209785e-7
0.2394	,1430,2.2382938398180401e-7
0.2395	,1430,2.226588642515102e-7
0.2396	,1430,2.2148834452121636e-7
0.2397	,1430,2.2031782479092252e-7
0.2398	,1430,2.1901724731281825e-7
0.2399	,1430,2.1784672758252438e-7
0.24	,1430,2.1667620785223054e-7
0.2401	,1430,2.1550568812193672e-7
0.2402	,1430,2.1433516839164286e-7
0.2403	,1430,2.1303459091353856e-7
0.2404	,1430,2.118640711832447e-7
0.2405	,1430,2.106935514529508e-7
0.2406	,1430,2.0952303172265693e-7
0.2407	,1430,2.083525119923631e-7
0.2408	,1430,2.0705193451425876e-7
0.2409	,1430,2.058814147839649e-7
0.241	,1430,2.04710895053671e-7
0.2411	,1430,2.035403753233771e-7
0.2412	,1430,2.023698555930832e-7
0.2413	,1430,2.0106927811497886e-7
0.2414	,1430,1.99898758384685e-7
0.2415	,1430,1.987282386543911e-7
0.2416	,1430,1.9755771892409718e-7
0.2417	,1430,1.9638719919380326e-7
0.2418	,1430,1.950866217156989e-7
0.2419	,1430,1.93916101985405e-7
0.242	,1430,1.927455822551111e-7
0.2421	,1430,1.9157506252481717e-7
0.2422	,1430,1.9040454279452323e-7
0.2423	,1430,1.892340230642293e-7
0.2424	,1430,1.8793344558612493e-7
0.2425	,1430,1.8676292585583098e-7
0.2426	,1430,1.855924061255371e-7
0.2427	,1430,1.8442188639524311e-7
0.2428	,1430,1.8325136666494917e-7
0.2429	,1430,1.819507891868448e-7
0.243	,1430,1.8078026945655082e-7
0.2431	,1430,1.7960974972625687e-7
0.2432	,1430,1.7843922999596292e-7
0.2433	,1430,1.7726871026566895e-7
0.2434	,1430,1.7596813278756454e-7
0.2435	,1430,1.7479761305727057e-7
0.2436	,1430,1.736270933269766e-7
0.2437	,1430,1.724565735966826e-7
0.2438	,1430,1.7128605386638865e-7
0.2439	,1430,1.6998547638828422e-7
0.244	,1430,1.6881495665799022e-7
0.2441	,1430,1.6764443692769622e-7
0.2442	,1430,1.6647391719740222e-7
0.2443	,1430,1.6530339746710822e-7
0.2444	,1430,1.640028199890038e-7
0.2445	,1430,1.628323002587098e-7
0.2446	,1430,1.616617805284158e-7
0.2447	,1430,1.6049126079812177e-7
0.2448	,1430,1.5932074106782774e-7
0.2449	,1430,1.5802016358972328e-7
0.245	,1430,1.5684964385942925e-7
0.2451	,1430,1.5567912412913526e-7
0.2452	,1430,1.545086043988412e-7
0.2453	,1430,1.5333808466854718e-7
0.2454	,1430,1.5216756493825312e-7
0.2455	,1430,1.5086698746014864e-7
0.2456	,1430,1.496964677298546e-7
0.2457	,1430,1.485259479995606e-7
0.2458	,1430,1.4735542826926654e-7
0.2459	,1430,1.4618490853897246e-7
0.246	,1430,1.4488433106086794e-7
0.2461	,1430,1.437138113305739e-7
0.2462	,1430,1.4254329160027981e-7
0.2463	,1430,1.413727718699858e-7
0.2464	,1430,1.402022521396917e-7
0.2465	,1430,1.3890167466158717e-7
0.2466	,1430,1.377311549312931e-7
0.2467	,1430,1.36560635200999e-7
0.2468	,1430,1.353901154707049e-7
0.2469	,1430,1.3421959574041086e-7
0.247	,1430,1.3291901826230632e-7
0.2471	,1430,1.317484985320122e-7
0.2472	,1430,1.305779788017181e-7
0.2473	,1430,1.29407459071424e-7
0.2474	,1430,1.282369393411299e-7
0.2475	,1430,1.2693636186302533e-7
0.2476	,1430,1.2576584213273123e-7
0.2477	,1430,1.2459532240243712e-7
0.2478	,1430,1.23424802672143e-7
0.2479	,1430,1.2225428294184888e-7
0.248	,1430,1.2108376321155475e-7
0.2481	,1430,1.1978318573345016e-7
0.2482	,1430,1.1861266600315604e-7
0.2483	,1430,1.174421462728619e-7
0.2484	,1430,1.1627162654256777e-7
0.2485	,1430,1.1510110681227361e-7
0.2486	,1430,1.13800529334169e-7
0.2487	,1430,1.1263000960387486e-7
0.2488	,1430,1.1145948987358073e-7
0.2489	,1430,1.1028897014328655e-7
0.249	,1430,1.091184504129924e-7
0.2491	,1430,1.0781787293488778e-7
0.2492	,1430,1.0664735320459361e-7
0.2493	,1430,1.0547683347429944e-7
0.2494	,1430,1.0430631374400528e-7
0.2495	,1430,1.0313579401371109e-7
0.2496	,1430,1.0183521653560645e-7
0.2497	,1430,1.0066469680531226e-7
0.2498	,1430,9.949417707501808e-8
0.2499	,1430,9.832365734472388e-8
0.25	,1430,9.71531376144297e-8
0.2501	,1430,9.585256013632504e-8
0.2502	,1430,9.468204040603084e-8
0.2503	,1430,9.351152067573663e-8
0.2504	,1430,9.234100094544242e-8
0.2505	,1430,9.117048121514821e-8
0.2506	,1430,8.986990373704352e-8
0.2507	,1430,8.869938400674931e-8
0.2508	,1430,8.752886427645509e-8
0.2509	,1430,8.635834454616086e-8
0.251	,1430,8.518782481586664e-8
0.2511	,1430,8.40173050855724e-8
0.2512	,1430,8.27167276074677e-8
0.2513	,1430,8.154620787717348e-8
0.2514	,1430,8.037568814687923e-8
0.2515	,1430,7.920516841658498e-8
0.2516	,1430,7.803464868629073e-8
0.2517	,1430,7.6734071208186e-8
0.2518	,1430,7.556355147789175e-8
0.2519	,1430,7.43930317475975e-8
0.252	,1430,7.322251201730324e-8
0.2521	,1430,7.205199228700897e-8
0.2522	,1430,7.075141480890422e-8
0.2523	,1430,6.958089507860996e-8
0.2524	,1430,6.841037534831568e-8
0.2525	,1430,6.72398556180214e-8
0.2526	,1430,6.606933588772713e-8
0.2527	,1430,6.476875840962237e-8
0.2528	,1430,6.359823867932807e-8
0.2529	,1430,6.242771894903377e-8
0.253	,1430,6.125719921873948e-8
0.2531	,1430,6.008667948844519e-8
0.2532	,1430,5.878610201034041e-8
0.2533	,1430,5.76155822800461e-8
0.2534	,1430,5.6445062549751786e-8
0.2535	,1430,5.5274542819457475e-8
0.2536	,1430,5.410402308916316e-8
0.2537	,1430,5.293350335886884e-8
0.2538	,1430,5.163292588076404e-8
0.2539	,1430,5.0462406150469715e-8
0.254	,1430,4.929188642017538e-8
0.2541	,1430,4.812136668988105e-8
0.2542	,1430,4.6950846959586704e-8
0.2543	,1430,4.565026948148188e-8
0.2544	,1430,4.4479749751187544e-8
0.2545	,1430,4.33092300208932e-8
0.2546	,1430,4.2138710290598844e-8
0.2547	,1430,4.0968190560304494e-8
0.2548	,1430,3.966761308219965e-8
0.2549	,1430,3.849709335190529e-8
0.255	,1430,3.732657362161093e-8
0.2551	,1430,3.615605389131656e-8
0.2552	,1430,3.4985534161022184e-8
0.2553	,1430,3.368495668291733e-8
0.2554	,1430,3.2514436952622945e-8
0.2555	,1430,3.134391722232856e-8
0.2556	,1430,3.0173397492034185e-8
0.2557	,1430,2.9002877761739796e-8
0.2558	,1430,2.7702300283634917e-8
0.2559	,1430,2.653178055334052e-8
0.256	,1430,2.536126082304612e-8
0.2561	,1430,2.4190741092751717e-8
0.2562	,1430,2.3020221362457317e-8
0.2563	,1430,2.171964388435242e-8
0.2564	,1430,2.0809239649678983e-8
0.2565	,1430,2.0809239649678983e-8
0.2566	,1430,2.0809239649678983e-8
0.2567	,1430,2.0809239649678983e-8
0.2568	,1430,2.0809239649678983e-8
0.2569	,1430,2.0809239649678983e-8
0.257	,1430,2.0809239649678983e-8
0.2571	,1430,2.0809239649678983e-8
0.2572	,1430,2.0679181901868495e-8
0.2573	,1430,2.0679181901868495e-8
0.2574	,1430,2.0679181901868495e-8
0.2575	,1430,2.0679181901868495e-8
0.2576	,1430,2.0679181901868495e-8
0.2577	,1430,2.0679181901868495e-8
0.2578	,1430,2.0679181901868495e-8
0.2579	,1430,2.0679181901868495e-8
0.258	,1430,2.0679181901868495e-8
0.2581	,1430,2.0679181901868495e-8
0.2582	,1430,2.0679181901868495e-8
0.2583	,1430,2.0679181901868495e-8
0.2584	,1430,2.0679181901868495e-8
0.2585	,1430,2.0679181901868495e-8
0.2586	,1430,2.0549124154058006e-8
0.2587	,1430,2.0549124154058006e-8
0.2588	,1430,2.0549124154058006e-8
0.2589	,1430,2.0549124154058006e-8
0.259	,1430,2.0549124154058006e-8
0.2591	,1430,2.0549124154058006e-8
0.2592	,1430,2.0549124154058006e-8
0.2593	,1430,2.0549124154058006e-8
0.2594	,1430,2.0549124154058006e-8
0.2595	,1430,2.0549124154058006e-8
0.2596	,1430,2.0549124154058006e-8
0.2597	,1430,2.0549124154058006e-8
0.2598	,1430,2.0549124154058006e-8
0.2599	,1430,2.0549124154058006e-8
0.26	,1430,2.0419066406247517e-8
0.2601	,1430,2.0419066406247517e-8
0.2602	,1430,2.0419066406247517e-8
0.2603	,1430,2.0419066406247517e-8
0.2604	,1430,2.0419066406247517e-8
0.2605	,1430,2.0419066406247517e-8
0.2606	,1430,2.0419066406247517e-8
0.2607	,1430,2.0419066406247517e-8
0.2608	,1430,2.0419066406247517e-8
0.2609	,1430,2.0419066406247517e-8
0.261	,1430,2.0419066406247517e-8
0.2611	,1430,2.0419066406247517e-8
0.2612	,1430,2.0419066406247517e-8
0.2613	,1430,2.028900865843702e-8
0.2614	,1430,2.028900865843702e-8
0.2615	,1430,2.028900865843702e-8
0.2616	,1430,2.028900865843702e-8
0.2617	,1430,2.028900865843702e-8
0.2618	,1430,2.028900865843702e-8
0.2619	,1430,2.028900865843702e-8
0.262	,1430,2.028900865843702e-8
0.2621	,1430,2.028900865843702e-8
0.2622	,1430,2.028900865843702e-8
0.2623	,1430,2.028900865843702e-8
0.2624	,1430,2.028900865843702e-8
0.2625	,1430,2.028900865843702e-8
0.2626	,1430,2.028900865843702e-8
0.2627	,1430,2.0158950910626533e-8
0.2628	,1430,2.0158950910626533e-8
0.2629	,1430,2.0158950910626533e-8
0.263	,1430,2.0158950910626533e-8
0.2631	,1430,2.0158950910626533e-8
0.2632	,1430,2.0158950910626533e-8
0.2633	,1430,2.0158950910626533e-8
0.2634	,1430,2.0158950910626533e-8
0.2635	,1430,2.0158950910626533e-8
0.2636	,1430,2.0158950910626533e-8
0.2637	,1430,2.0158950910626533e-8
0.2638	,1430,2.0158950910626533e-8
0.2639	,1430,2.0158950910626533e-8
0.264	,1430,2.0028893162816044e-8
0.2641	,1430,2.0028893162816044e-8
0.2642	,1430,2.0028893162816044e-8
0.2643	,1430,2.0028893162816044e-8
0.2644	,1430,2.0028893162816044e-8
0.2645	,1430,2.0028893162816044e-8
0.2646	,1430,2.0028893162816044e-8
0.2647	,1430,2.0028893162816044e-8
0.2648	,1430,2.0028893162816044e-8
0.2649	,1430,2.0028893162816044e-8
0.265	,1430,2.0028893162816044e-8
0.2651	,1430,2.0028893162816044e-8
0.2652	,1430,2.0028893162816044e-8
0.2653	,1430,2.0028893162816044e-8
0.2654	,1430,1.989883541500555e-8
0.2655	,1430,1.989883541500555e-8
0.2656	,1430,1.989883541500555e-8
0.2657	,1430,1.989883541500555e-8
0.2658	,1430,1.989883541500555e-8
0.2659	,1430,1.989883541500555e-8
0.266	,1430,1.989883541500555e-8
0.2661	,1430,1.989883541500555e-8
0.2662	,1430,1.989883541500555e-8
0.2663	,1430,1.989883541500555e-8
0.2664	,1430,1.989883541500555e-8
0.2665	,1430,1.989883541500555e-8
0.2666	,1430,1.989883541500555e-8
0.2667	,1430,1.989883541500555e-8
0.2668	,1430,1.9768777667195063e-8
0.2669	,1430,1.9768777667195063e-8
0.267	,1430,1.9768777667195063e-8
0.2671	,1430,1.9768777667195063e-8
0.2672	,1430,1.9768777667195063e-8
0.2673	,1430,1.9768777667195063e-8
0.2674	,1430,1.9768777667195063e-8
0.2675	,1430,1.9768777667195063e-8
0.2676	,1430,1.9768777667195063e-8
0.2677	,1430,1.9768777667195063e-8
0.2678	,1430,1.9768777667195063e-8
0.2679	,1430,1.9768777667195063e-8
0.268	,1430,1.9768777667195063e-8
0.2681	,1430,1.963871991938457e-8
0.2682	,1430,1.963871991938457e-8
0.2683	,1430,1.963871991938457e-8
0.2684	,1430,1.963871991938457e-8
0.2685	,1430,1.963871991938457e-8
0.2686	,1430,1.963871991938457e-8
0.2687	,1430,1.963871991938457e-8
0.2688	,1430,1.963871991938457e-8
0.2689	,1430,1.963871991938457e-8
0.269	,1430,1.963871991938457e-8
0.2691	,1430,1.963871991938457e-8
0.2692	,1430,1.963871991938457e-8
0.2693	,1430,1.963871991938457e-8
0.2694	,1430,1.963871991938457e-8
0.2695	,1430,1.9508662171574078e-8
0.2696	,1430,1.9508662171574078e-8
0.2697	,1430,1.9508662171574078e-8
0.2698	,1430,1.9508662171574078e-8
0.2699	,1430,1.9508662171574078e-8
0.27	,1430,1.9508662171574078e-8
0.2701	,1430,1.9508662171574078e-8
0.2702	,1430,1.9508662171574078e-8
0.2703	,1430,1.9508662171574078e-8
0.2704	,1430,1.9508662171574078e-8
0.2705	,1430,1.9508662171574078e-8
0.2706	,1430,1.9508662171574078e-8
0.2707	,1430,1.9508662171574078e-8
0.2708	,1430,1.937860442376359e-8
0.2709	,1430,1.937860442376359e-8
0.271	,1430,1.937860442376359e-8
0.2711	,1430,1.937860442376359e-8
0.2712	,1430,1.937860442376359e-8
0.2713	,1430,1.937860442376359e-8
0.2714	,1430,1.937860442376359e-8
0.2715	,1430,1.937860442376359e-8
0.2716	,1430,1.937860442376359e-8
0.2717	,1430,1.937860442376359e-8
0.2718	,1430,1.937860442376359e-8
0.2719	,1430,1.937860442376359e-8
0.272	,1430,1.937860442376359e-8
0.2721	,1430,1.937860442376359e-8
0.2722	,1430,1.9248546675953097e-8
0.2723	,1430,1.9248546675953097e-8
0.2724	,1430,1.9248546675953097e-8
0.2725	,1430,1.9248546675953097e-8
0.2726	,1430,1.9248546675953097e-8
0.2727	,1430,1.9248546675953097e-8
0.2728	,1430,1.9248546675953097e-8
0.2729	,1430,1.9248546675953097e-8
0.273	,1430,1.9248546675953097e-8
0.2731	,1430,1.9248546675953097e-8
0.2732	,1430,1.9248546675953097e-8
0.2733	,1430,1.9248546675953097e-8
0.2734	,1430,1.9248546675953097e-8
0.2735	,1430,1.9248546675953097e-8
0.2736	,1430,1.9118488928142608e-8
0.2737	,1430,1.9118488928142608e-8
0.2738	,1430,1.9118488928142608e-8
0.2739	,1430,1.9118488928142608e-8
0.274	,1430,1.9118488928142608e-8
0.2741	,1430,1.9118488928142608e-8
0.2742	,1430,1.9118488928142608e-8
0.2743	,1430,1.9118488928142608e-8
0.2744	,1430,1.9118488928142608e-8
0.2745	,1430,1.9118488928142608e-8
0.2746	,1430,1.9118488928142608e-8
0.2747	,1430,1.9118488928142608e-8
0.2748	,1430,1.9118488928142608e-8
0.2749	,1430,1.8988431180332116e-8
0.275	,1430,1.8988431180332116e-8
0.2751	,1430,1.8988431180332116e-8
0.2752	,1430,1.8988431180332116e-8
0.2753	,1430,1.8988431180332116e-8
0.2754	,1430,1.8988431180332116e-8
0.2755	,1430,1.8988431180332116e-8
0.2756	,1430,1.8988431180332116e-8
0.2757	,1430,1.8988431180332116e-8
0.2758	,1430,1.8988431180332116e-8
0.2759	,1430,1.8988431180332116e-8
0.276	,1430,1.8988431180332116e-8
0.2761	,1430,1.8988431180332116e-8
0.2762	,1430,1.8988431180332116e-8
0.2763	,1430,1.8858373432521624e-8
0.2764	,1430,1.8858373432521624e-8
0.2765	,1430,1.8858373432521624e-8
0.2766	,1430,1.8858373432521624e-8
0.2767	,1430,1.8858373432521624e-8
0.2768	,1430,1.8858373432521624e-8
0.2769	,1430,1.8858373432521624e-8
0.277	,1430,1.8858373432521624e-8
0.2771	,1430,1.8858373432521624e-8
0.2772	,1430,1.8858373432521624e-8
0.2773	,1430,1.8858373432521624e-8
0.2774	,1430,1.8858373432521624e-8
0.2775	,1430,1.8858373432521624e-8
0.2776	,1430,1.8728315684711135e-8
0.2777	,1430,1.8728315684711135e-8
0.2778	,1430,1.8728315684711135e-8
0.2779	,1430,1.8728315684711135e-8
0.278	,1430,1.8728315684711135e-8
0.2781	,1430,1.8728315684711135e-8
0.2782	,1430,1.8728315684711135e-8
0.2783	,1430,1.8728315684711135e-8
0.2784	,1430,1.8728315684711135e-8
0.2785	,1430,1.8728315684711135e-8
0.2786	,1430,1.8728315684711135e-8
0.2787	,1430,1.8728315684711135e-8
0.2788	,1430,1.8728315684711135e-8
0.2789	,1430,1.8728315684711135e-8
0.279	,1430,1.8598257936900643e-8
0.2791	,1430,1.8598257936900643e-8
0.2792	,1430,1.8598257936900643e-8
0.2793	,1430,1.8598257936900643e-8
0.2794	,1430,1.8598257936900643e-8
0.2795	,1430,1.8598257936900643e-8
0.2796	,1430,1.8598257936900643e-8
0.2797	,1430,1.8598257936900643e-8
0.2798	,1430,1.8598257936900643e-8
0.2799	,1430,1.8598257936900643e-8
0.28	,1430,1.8598257936900643e-8
0.2801	,1430,1.8598257936900643e-8
0.2802	,1430,1.8598257936900643e-8
0.2803	,1430,1.8598257936900643e-8
0.2804	,1430,1.8468200189090154e-8
0.2805	,1430,1.8468200189090154e-8
0.2806	,1430,1.8468200189090154e-8
0.2807	,1430,1.8468200189090154e-8
0.2808	,1430,1.8468200189090154e-8
0.2809	,1430,1.8468200189090154e-8
0.281	,1430,1.8468200189090154e-8
0.2811	,1430,1.8468200189090154e-8
0.2812	,1430,1.8468200189090154e-8
0.2813	,1430,1.8468200189090154e-8
0.2814	,1430,1.8468200189090154e-8
0.2815	,1430,1.8468200189090154e-8
0.2816	,1430,1.8468200189090154e-8
0.2817	,1430,1.833814244127966e-8
0.2818	,1430,1.833814244127966e-8
0.2819	,1430,1.833814244127966e-8
0.282	,1430,1.833814244127966e-8
0.2821	,1430,1.833814244127966e-8
0.2822	,1430,1.833814244127966e-8
0.2823	,1430,1.833814244127966e-8
0.2824	,1430,1.833814244127966e-8
0.2825	,1430,1.833814244127966e-8
0.2826	,1430,1.833814244127966e-8
0.2827	,1430,1.833814244127966e-8
0.2828	,1430,1.833814244127966e-8
0.2829	,1430,1.833814244127966e-8
0.283	,1430,1.833814244127966e-8
0.2831	,1430,1.820808469346917e-8
0.2832	,1430,1.820808469346917e-8
0.2833	,1430,1.820808469346917e-8
0.2834	,1430,1.820808469346917e-8
0.2835	,1430,1.820808469346917e-8
0.2836	,1430,1.820808469346917e-8
0.2837	,1430,1.820808469346917e-8
0.2838	,1430,1.820808469346917e-8
0.2839	,1430,1.820808469346917e-8
0.284	,1430,1.820808469346917e-8
0.2841	,1430,1.820808469346917e-8
0.2842	,1430,1.820808469346917e-8
0.2843	,1430,1.820808469346917e-8
0.2844	,1430,1.8078026945658678e-8
0.2845	,1430,1.8078026945658678e-8
0.2846	,1430,1.8078026945658678e-8
0.2847	,1430,1.8078026945658678e-8
0.2848	,1430,1.8078026945658678e-8
0.2849	,1430,1.8078026945658678e-8
0.285	,1430,1.8078026945658678e-8
0.2851	,1430,1.8078026945658678e-8
0.2852	,1430,1.8078026945658678e-8
0.2853	,1430,1.8078026945658678e-8
0.2854	,1430,1.8078026945658678e-8
0.2855	,1430,1.8078026945658678e-8
0.2856	,1430,1.8078026945658678e-8
0.2857	,1430,1.8078026945658678e-8
0.2858	,1430,1.794796919784819e-8
0.2859	,1430,1.794796919784819e-8
0.286	,1430,1.794796919784819e-8
0.2861	,1430,1.794796919784819e-8
0.2862	,1430,1.794796919784819e-8
0.2863	,1430,1.794796919784819e-8
0.2864	,1430,1.794796919784819e-8
0.2865	,1430,1.794796919784819e-8
0.2866	,1430,1.794796919784819e-8
0.2867	,1430,1.794796919784819e-8
0.2868	,1430,1.794796919784819e-8
0.2869	,1430,1.794796919784819e-8
0.287	,1430,1.794796919784819e-8
0.2871	,1430,1.794796919784819e-8
0.2872	,1430,1.7817911450037696e-8
0.2873	,1430,1.7817911450037696e-8
0.2874	,1430,1.7817911450037696e-8
0.2875	,1430,1.7817911450037696e-8
0.2876	,1430,1.7817911450037696e-8
0.2877	,1430,1.7817911450037696e-8
0.2878	,1430,1.7817911450037696e-8
0.2879	,1430,1.7817911450037696e-8
0.288	,1430,1.7817911450037696e-8
0.2881	,1430,1.7817911450037696e-8
0.2882	,1430,1.7817911450037696e-8
0.2883	,1430,1.7817911450037696e-8
0.2884	,1430,1.7817911450037696e-8
0.2885	,1430,1.7687853702227204e-8
0.2886	,1430,1.7687853702227204e-8
0.2887	,1430,1.7687853702227204e-8
0.2888	,1430,1.7687853702227204e-8
0.2889	,1430,1.7687853702227204e-8
0.289	,1430,1.7687853702227204e-8
0.2891	,1430,1.7687853702227204e-8
0.2892	,1430,1.7687853702227204e-8
0.2893	,1430,1.7687853702227204e-8
0.2894	,1430,1.7687853702227204e-8
0.2895	,1430,1.7687853702227204e-8
0.2896	,1430,1.7687853702227204e-8
0.2897	,1430,1.7687853702227204e-8
0.2898	,1430,1.7687853702227204e-8
0.2899	,1430,1.7557795954416712e-8
0.29	,1430,1.7557795954416712e-8
0.2901	,1430,1.7557795954416712e-8
0.2902	,1430,1.7557795954416712e-8
0.2903	,1430,1.7557795954416712e-8
0.2904	,1430,1.7557795954416712e-8
0.2905	,1430,1.7557795954416712e-8
0.2906	,1430,1.7557795954416712e-8
0.2907	,1430,1.7557795954416712e-8
0.2908	,1430,1.7557795954416712e-8
0.2909	,1430,1.7557795954416712e-8
0.291	,1430,1.7557795954416712e-8
0.2911	,1430,1.7557795954416712e-8
0.2912	,1430,1.7427738206606223e-8
0.2913	,1430,1.7427738206606223e-8
0.2914	,1430,1.7427738206606223e-8
0.2915	,1430,1.7427738206606223e-8
0.2916	,1430,1.7427738206606223e-8
0.2917	,1430,1.7427738206606223e-8
0.2918	,1430,1.7427738206606223e-8
0.2919	,1430,1.7427738206606223e-8
0.292	,1430,1.7427738206606223e-8
0.2921	,1430,1.7427738206606223e-8
0.2922	,1430,1.7427738206606223e-8
0.2923	,1430,1.7427738206606223e-8
0.2924	,1430,1.7427738206606223e-8
0.2925	,1430,1.7427738206606223e-8
0.2926	,1430,1.729768045879573e-8
0.2927	,1430,1.729768045879573e-8
0.2928	,1430,1.729768045879573e-8
